Epoch: 2 | Iter:   21 | Time: 00:34:45 | Train Loss: 0.0405 | Average Loss: 0.2041 
Epoch: 2 | Iter:   22 | Time: 00:35:14 | Train Loss: 0.0414 | Average Loss: 0.2014 
Epoch: 2 | Iter:   23 | Time: 00:35:43 | Train Loss: 0.0408 | Average Loss: 0.1988 
Epoch: 2 | Iter:   24 | Time: 00:36:13 | Train Loss: 0.0392 | Average Loss: 0.1962 
Epoch: 2 | Iter:   25 | Time: 00:36:47 | Train Loss: 0.0405 | Average Loss: 0.1937 
Epoch: 2 | Iter:   26 | Time: 00:37:21 | Train Loss: 0.0389 | Average Loss: 0.1913 
Epoch: 2 | Iter:   27 | Time: 00:37:55 | Train Loss: 0.0387 | Average Loss: 0.1890 
Epoch: 2 | Iter:   28 | Time: 00:38:30 | Train Loss: 0.0377 | Average Loss: 0.1867 
Epoch: 2 | Iter:   29 | Time: 00:39:04 | Train Loss: 0.0389 | Average Loss: 0.1845 
Epoch: 2 | Iter:   30 | Time: 00:39:41 | Train Loss: 0.0389 | Average Loss: 0.1823 
Epoch: 2 | Iter:   31 | Time: 00:40:18 | Train Loss: 0.0401 | Average Loss: 0.1803 
Epoch: 2 | Iter:   32 | Time: 00:40:48 | Train Loss: 0.0368 | Average Loss: 0.1782 
Epoch: 2 | Iter:   33 | Time: 00:41:23 | Train Loss: 0.0373 | Average Loss: 0.1762 
Epoch: 2 | Iter:   34 | Time: 00:41:59 | Train Loss: 0.0367 | Average Loss: 0.1743 
Epoch: 2 | Iter:   35 | Time: 00:42:33 | Train Loss: 0.0382 | Average Loss: 0.1724 
Epoch: 2 | Iter:   36 | Time: 00:42:44 | Train Loss: 0.0353 | Average Loss: 0.1706 

 EPOCH 2/10 	 Train loss 0.1705859899520874 	 Test loss 0.03712049126625061
Epoch: 3 | Iter:    0 | Time: 00:44:59 | Train Loss: 0.0375 | Average Loss: 0.1688 
Epoch: 3 | Iter:    1 | Time: 00:45:31 | Train Loss: 0.0361 | Average Loss: 0.1671 
Epoch: 3 | Iter:    2 | Time: 00:46:05 | Train Loss: 0.0380 | Average Loss: 0.1654 
Epoch: 3 | Iter:    3 | Time: 00:46:39 | Train Loss: 0.0396 | Average Loss: 0.1638 
Epoch: 3 | Iter:    4 | Time: 00:47:14 | Train Loss: 0.0389 | Average Loss: 0.1622 
Epoch: 3 | Iter:    5 | Time: 00:47:49 | Train Loss: 0.0365 | Average Loss: 0.1606 
Epoch: 3 | Iter:    6 | Time: 00:48:24 | Train Loss: 0.0351 | Average Loss: 0.1591 
Epoch: 3 | Iter:    7 | Time: 00:48:56 | Train Loss: 0.0365 | Average Loss: 0.1576 
Epoch: 3 | Iter:    8 | Time: 00:49:30 | Train Loss: 0.0357 | Average Loss: 0.1561 
Epoch: 3 | Iter:    9 | Time: 00:50:05 | Train Loss: 0.0363 | Average Loss: 0.1547 
Epoch: 3 | Iter:   10 | Time: 00:50:38 | Train Loss: 0.0343 | Average Loss: 0.1533 
Epoch: 3 | Iter:   11 | Time: 00:51:12 | Train Loss: 0.0352 | Average Loss: 0.1519 
Epoch: 3 | Iter:   12 | Time: 00:51:41 | Train Loss: 0.0362 | Average Loss: 0.1506 
Epoch: 3 | Iter:   13 | Time: 00:52:11 | Train Loss: 0.0381 | Average Loss: 0.1493 
Epoch: 3 | Iter:   14 | Time: 00:52:42 | Train Loss: 0.0364 | Average Loss: 0.1480 
Epoch: 3 | Iter:   15 | Time: 00:53:11 | Train Loss: 0.0356 | Average Loss: 0.1468 
Epoch: 3 | Iter:   16 | Time: 00:53:39 | Train Loss: 0.0353 | Average Loss: 0.1455 
Epoch: 3 | Iter:   17 | Time: 00:54:08 | Train Loss: 0.0341 | Average Loss: 0.1443 
Epoch: 3 | Iter:   18 | Time: 00:54:38 | Train Loss: 0.0349 | Average Loss: 0.1432 
Epoch: 3 | Iter:   19 | Time: 00:55:07 | Train Loss: 0.0352 | Average Loss: 0.1420 
Epoch: 3 | Iter:   20 | Time: 00:55:35 | Train Loss: 0.0339 | Average Loss: 0.1409 
Epoch: 3 | Iter:   21 | Time: 00:56:05 | Train Loss: 0.0362 | Average Loss: 0.1398 
Epoch: 3 | Iter:   22 | Time: 00:56:39 | Train Loss: 0.0375 | Average Loss: 0.1387 
Epoch: 3 | Iter:   23 | Time: 00:57:14 | Train Loss: 0.0342 | Average Loss: 0.1377 
Epoch: 3 | Iter:   24 | Time: 00:57:48 | Train Loss: 0.0342 | Average Loss: 0.1366 
Epoch: 3 | Iter:   25 | Time: 00:58:23 | Train Loss: 0.0345 | Average Loss: 0.1356 
Epoch: 3 | Iter:   26 | Time: 00:58:58 | Train Loss: 0.0310 | Average Loss: 0.1346 
Epoch: 3 | Iter:   27 | Time: 00:59:34 | Train Loss: 0.0338 | Average Loss: 0.1336 
Epoch: 3 | Iter:   28 | Time: 01:00:07 | Train Loss: 0.0342 | Average Loss: 0.1326 
Epoch: 3 | Iter:   29 | Time: 01:00:37 | Train Loss: 0.0346 | Average Loss: 0.1317 
Epoch: 3 | Iter:   30 | Time: 01:01:11 | Train Loss: 0.0321 | Average Loss: 0.1307 
Epoch: 3 | Iter:   31 | Time: 01:01:46 | Train Loss: 0.0322 | Average Loss: 0.1298 
Epoch: 3 | Iter:   32 | Time: 01:02:19 | Train Loss: 0.0319 | Average Loss: 0.1289 
Epoch: 3 | Iter:   33 | Time: 01:02:49 | Train Loss: 0.0315 | Average Loss: 0.1280 
Epoch: 3 | Iter:   34 | Time: 01:03:25 | Train Loss: 0.0306 | Average Loss: 0.1271 
Epoch: 3 | Iter:   35 | Time: 01:04:01 | Train Loss: 0.0303 | Average Loss: 0.1262 
Epoch: 3 | Iter:   36 | Time: 01:04:12 | Train Loss: 0.0314 | Average Loss: 0.1253 

 EPOCH 3/10 	 Train loss 0.1253417283296585 	 Test loss 0.03119318187236786
Epoch: 4 | Iter:    0 | Time: 01:06:20 | Train Loss: 0.0306 | Average Loss: 0.1245 
Epoch: 4 | Iter:    1 | Time: 01:06:51 | Train Loss: 0.0310 | Average Loss: 0.1237 
Epoch: 4 | Iter:    2 | Time: 01:07:21 | Train Loss: 0.0320 | Average Loss: 0.1229 
Epoch: 4 | Iter:    3 | Time: 01:07:50 | Train Loss: 0.0315 | Average Loss: 0.1221 
Epoch: 4 | Iter:    4 | Time: 01:08:20 | Train Loss: 0.0313 | Average Loss: 0.1213 
Epoch: 4 | Iter:    5 | Time: 01:08:51 | Train Loss: 0.0300 | Average Loss: 0.1205 
Epoch: 4 | Iter:    6 | Time: 01:09:20 | Train Loss: 0.0306 | Average Loss: 0.1197 
Epoch: 4 | Iter:    7 | Time: 01:09:51 | Train Loss: 0.0318 | Average Loss: 0.1190 
Epoch: 4 | Iter:    8 | Time: 01:10:19 | Train Loss: 0.0304 | Average Loss: 0.1183 
Epoch: 4 | Iter:    9 | Time: 01:10:50 | Train Loss: 0.0294 | Average Loss: 0.1175 
