Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.21967438,0.21905407,0.10264597833156586,0.11227617412805557
2,0.18169667,0.18176606,0.10771697759628296,0.11254259198904037
3,0.18150656,0.17936675,0.11306778341531754,0.11501088738441467
4,0.17938718,0.18070203,0.12169811874628067,0.12388353794813156
5,0.17798577,0.17820524,0.09870103001594543,0.09262166172266006
6,0.17805709,0.17721134,0.10703812539577484,0.10810308158397675
7,0.17529686,0.17517488,0.1050945445895195,0.10722969472408295
8,0.17563446,0.17480625,0.10042659193277359,0.10237592458724976
9,0.17388307,0.1755948,0.10157366842031479,0.10414516180753708
10,0.17396456,0.17771217,0.10574440658092499,0.1059570163488388
11,0.1756377,0.1745087,0.10228204727172852,0.10296853631734848
12,0.17492896,0.17520699,0.10344964265823364,0.10434183478355408
13,0.17390601,0.17590792,0.10205956548452377,0.10327788442373276
14,0.1745393,0.17479011,0.10301005840301514,0.10229480266571045
15,0.17417182,0.17620197,0.10101865231990814,0.10280539095401764
16,0.17485319,0.17528553,0.10539301484823227,0.10581133514642715
17,0.17507039,0.17681204,0.1039135605096817,0.10471662133932114
18,0.17358668,0.17421515,0.10308028757572174,0.10436899960041046
19,0.17342375,0.1737648,0.10215345025062561,0.10281103849411011
20,0.17580435,0.174157,0.1042850986123085,0.10262251645326614
21,0.17571062,0.17414354,0.10344084352254868,0.10330851376056671
22,0.1738297,0.17501174,0.10554369539022446,0.10608667135238647
23,0.17359978,0.17584419,0.10427001863718033,0.10212409496307373
24,0.17581123,0.17400202,0.1002865731716156,0.10107691586017609
25,0.17157277,0.17248574,0.09893149137496948,0.09891390800476074
