Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.19524221,0.194765,0.11972561478614807,0.11727927625179291
2,0.18352586,0.18381333,0.10086715221405029,0.097372867166996
3,0.18350945,0.18343095,0.10281363874673843,0.10884196311235428
4,0.18279363,0.18379012,0.11526208370923996,0.11018674075603485
5,0.18314299,0.18337445,0.12170777469873428,0.12249001115560532
6,0.18364808,0.18361348,0.1136803850531578,0.10166576504707336
7,0.18269028,0.18397729,0.07737899571657181,0.11190903186798096
8,0.18320335,0.1836738,0.10990742594003677,0.1078048124909401
9,0.18528594,0.18406354,0.11959028989076614,0.11811278015375137
10,0.18467087,0.18344587,0.1099676713347435,0.11289972066879272
11,0.18513155,0.18400896,0.11440367251634598,0.11818808317184448
12,0.18448275,0.18219934,0.11425400525331497,0.10370147228240967
13,0.18549456,0.183466,0.10035888850688934,0.091673344373703
14,0.18454877,0.18540342,0.09480289369821548,0.11109766364097595
15,0.18405575,0.18466192,0.11655735224485397,0.11563467234373093
16,0.18453902,0.18453833,0.07207656651735306,0.11101073026657104
17,0.18615204,0.1857003,0.11667663604021072,0.11779577285051346
18,0.18553385,0.18492375,0.11937879025936127,0.1200752928853035
19,0.18706995,0.1858561,0.1182221993803978,0.11790258437395096
20,0.18582366,0.18600935,0.11992144584655762,0.1222686767578125
21,0.1841728,0.18407369,0.11951656639575958,0.11856016516685486
22,0.1848908,0.1854971,0.1200755387544632,0.10599938035011292
23,0.18450142,0.1845075,0.11990910768508911,0.12099607288837433
24,0.18527913,0.18404306,0.11536161601543427,0.11636777222156525
25,0.18582611,0.18493326,0.11930810660123825,0.11806831508874893
