Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.28965354,0.28980762,0.061686884611845016,0.06232820451259613
2,0.26787874,0.27020678,0.06399429589509964,0.0639408603310585
3,0.25262648,0.25291693,0.059360992163419724,0.058682288974523544
4,0.24036841,0.24082549,0.06132948398590088,0.06173379346728325
5,0.23022565,0.23075292,0.06686374545097351,0.06673696637153625
6,0.22089595,0.2237229,0.06595365703105927,0.06623870879411697
7,0.21424913,0.21799861,0.07048378884792328,0.0716857761144638
8,0.20905803,0.20815097,0.07245636731386185,0.0710349828004837
9,0.20181088,0.20167454,0.07720015943050385,0.07538589090108871
10,0.19940682,0.19950038,0.07497666776180267,0.0755469799041748
11,0.19421236,0.19449128,0.07252845913171768,0.07226034998893738
12,0.1932427,0.19280857,0.07668730616569519,0.07765185832977295
13,0.18911514,0.18887568,0.08127208799123764,0.0793580636382103
14,0.18808073,0.18802586,0.08165764808654785,0.08131140470504761
15,0.183632,0.18576713,0.08644077926874161,0.08439111709594727
16,0.18287358,0.18246354,0.0868995413184166,0.08466841280460358
17,0.1832579,0.1818731,0.08242344856262207,0.08524159342050552
18,0.18102758,0.1814734,0.08501490205526352,0.08405321091413498
19,0.1806514,0.17938168,0.08731619268655777,0.08521562069654465
20,0.17911008,0.17891301,0.09008844196796417,0.08567485958337784
21,0.17727812,0.17877935,0.08866818249225616,0.08872506022453308
22,0.17666441,0.17641725,0.08899722248315811,0.08916019648313522
23,0.17503208,0.17497747,0.09497792273759842,0.09392819553613663
24,0.17649059,0.17567958,0.0899926945567131,0.09525451809167862
25,0.17514215,0.17377669,0.09219010919332504,0.0970131978392601
