Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.24229372,0.2411973,0.09239219129085541,0.09287819266319275
2,0.18998337,0.19288754,0.09763297438621521,0.0922180563211441
3,0.1798896,0.1805503,0.11073726415634155,0.10157619416713715
4,0.17584552,0.17987266,0.10847290605306625,0.09800676256418228
5,0.17774798,0.17940748,0.11940299719572067,0.12089619040489197
6,0.17782705,0.17556898,0.10527674108743668,0.10107824206352234
7,0.17569628,0.17685038,0.11291904747486115,0.10257237404584885
8,0.17896755,0.17576332,0.11098922789096832,0.11157303303480148
9,0.17604125,0.17788917,0.10651534795761108,0.09880398213863373
10,0.17842555,0.17642277,0.10264811664819717,0.10008130222558975
11,0.17618133,0.17693315,0.1067073866724968,0.10952533036470413
12,0.1765396,0.1776847,0.11148016154766083,0.10272111743688583
13,0.17462356,0.17506546,0.10199616849422455,0.10745621472597122
14,0.17455447,0.175362,0.09561565518379211,0.10318732261657715
15,0.17445114,0.17617613,0.10186147689819336,0.1002979576587677
16,0.17492907,0.17558876,0.10875456035137177,0.1065979152917862
17,0.17404129,0.17383787,0.10021668672561646,0.09836488962173462
18,0.17581479,0.17450728,0.09584318101406097,0.09287256747484207
19,0.17633478,0.17423047,0.1066751554608345,0.0997985452413559
20,0.17544658,0.17327413,0.09749137610197067,0.10303361713886261
21,0.17448178,0.17403558,0.1024404838681221,0.10498029738664627
22,0.1745931,0.17344205,0.08899436146020889,0.08763475716114044
23,0.17228495,0.17432396,0.10051464289426804,0.10182522237300873
24,0.1740332,0.17512389,0.09411808848381042,0.09453018009662628
25,0.17461354,0.17432152,0.0994933545589447,0.10638226568698883
