Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.21862459,0.21742788,0.10850434750318527,0.10808315128087997
2,0.18419991,0.18424845,0.1086253970861435,0.11015267670154572
3,0.179696,0.17870665,0.10755641013383865,0.10819525271654129
4,0.17807357,0.17746621,0.0799928829073906,0.09958391636610031
5,0.17853627,0.17666388,0.10199018567800522,0.09625919908285141
6,0.17618145,0.17632481,0.1063757985830307,0.10746114701032639
7,0.17541514,0.17454268,0.10478147864341736,0.10467242449522018
8,0.17513585,0.17398456,0.10316263884305954,0.10163000971078873
9,0.17502166,0.17232944,0.10455512255430222,0.10315495729446411
10,0.17307697,0.17219755,0.10213413089513779,0.09921032935380936
11,0.17304155,0.17216747,0.09967759251594543,0.09757130593061447
12,0.17254105,0.17254663,0.10093973577022552,0.09987705945968628
13,0.17407782,0.17272194,0.09997939318418503,0.09982497990131378
14,0.17304851,0.1731762,0.10061101615428925,0.10014168173074722
15,0.1718889,0.17279604,0.10105013847351074,0.09985175728797913
16,0.17186373,0.17187992,0.09969434142112732,0.09990054368972778
17,0.16929248,0.17310315,0.10072505474090576,0.10076411068439484
18,0.17192428,0.17083795,0.10044919699430466,0.09949711710214615
19,0.17163427,0.170316,0.09881793707609177,0.09890329092741013
20,0.16954623,0.17214997,0.09728133678436279,0.09558718651533127
21,0.17214917,0.17225787,0.09781673550605774,0.09531805664300919
22,0.17118575,0.17246339,0.09794926643371582,0.09929738193750381
23,0.17086162,0.17059551,0.09682586789131165,0.09625071287155151
24,0.17126638,0.1706145,0.09773402661085129,0.09786577522754669
25,0.17082685,0.1700278,0.09949225187301636,0.09740054607391357
